identifier,serial_number,category,brand_name,mfg_date,expiry_date,MRP
1001,12345,Electronics,BrandC,2020-10-29,2021-11-19,152
1002,12346,Grocery,BrandB,2021-03-17,2022-09-01,485
1003,12347,Cosmetics,BrandB,2020-08-21,2022-02-10,910
1004,12348,Grocery,BrandE,2022-02-16,2023-08-26,320
1005,12349,Cosmetics,BrandC,2019-10-20,2020-10-22,156
1006,12350,Cosmetics,BrandD,2022-11-02,2024-04-11,121
1007,12351,Electronics,BrandC,2023-06-19,2026-02-01,750
1008,12352,Grocery,BrandD,2020-03-16,2022-09-06,70
1009,12353,Cosmetics,BrandB,2021-10-12,2023-03-12,664
1010,12354,Electronics,BrandD,2023-04-17,2025-06-24,171
1011,12355,Grocery,BrandA,2022-04-19,2023-09-19,516
1012,12356,Electronics,BrandB,2021-12-02,2024-02-25,264
1013,12357,Electronics,BrandE,2023-06-12,2025-09-21,380
1014,12358,Grocery,BrandD,2021-12-19,2023-07-19,508
1015,12359,Grocery,BrandC,2023-08-28,2024-11-14,137
1016,12360,Cosmetics,BrandA,2022-01-31,2023-10-19,422
1017,12361,Electronics,BrandD,2023-07-03,2024-10-29,149
1018,12362,Cosmetics,BrandC,2021-03-16,2023-09-27,921
